,userId,movieId,rating,timestamp
0,196,242,0,1997-04-12 15:55:00
1,186,302,0,1998-04-04 19:22:00
2,22,377,0,1997-07-11 07:18:00
3,244,51,0,1997-11-27 05:02:00
4,166,346,0,1998-02-02 05:33:00
5,298,474,1,1998-07-01 14:20:00
6,115,265,0,1997-03-12 17:51:00
7,253,465,1,1998-03-04 18:34:00
8,305,451,0,1998-01-02 09:20:00
9,6,86,0,1997-12-31 21:16:00
10,62,257,0,1997-12-11 22:07:00
11,286,1014,1,1997-11-17 15:38:00
12,200,222,1,1997-05-10 09:05:00
13,210,40,0,1998-03-27 21:59:00
14,224,29,0,1998-02-21 23:40:00
15,303,785,0,1997-11-14 05:28:00
16,122,387,1,1997-11-11 17:47:00
17,194,274,0,1997-11-14 20:36:00
18,291,1042,1,1997-09-21 09:42:00
19,234,1184,0,1998-08-04 23:47:00
20,119,392,1,1998-01-30 16:13:00
21,167,486,1,1998-04-16 14:54:00
22,299,144,1,1997-10-26 15:55:00
23,291,118,0,1997-09-21 09:24:00
24,308,1,1,1998-02-17 17:28:00
25,95,546,0,1997-10-11 21:16:00
26,38,95,1,1998-04-13 01:14:00
27,102,768,0,1998-02-01 13:40:00
28,63,277,1,1997-01-10 23:10:00
29,160,234,1,1997-10-14 20:33:00
30,50,246,0,1997-10-17 01:38:00
31,301,98,1,1997-12-14 05:03:00
32,225,193,1,1997-11-14 20:35:00
33,290,88,1,1997-11-28 15:46:00
34,97,194,0,1998-08-01 05:54:00
35,157,274,1,1998-07-02 22:33:00
36,181,1081,0,1997-08-11 04:17:00
37,278,603,1,1998-03-30 22:02:00
38,276,796,0,1997-09-20 21:45:00
39,7,32,1,1998-03-31 13:28:00
40,10,16,1,1997-10-26 18:01:00
41,284,304,1,1998-01-20 20:48:00
42,201,979,0,1998-06-01 19:17:00
43,276,564,0,1997-09-20 21:43:00
44,287,327,1,1997-09-27 04:18:00
45,246,201,1,1998-01-16 03:33:00
46,242,1137,1,1997-11-17 04:33:00
47,249,241,1,1997-11-16 00:46:00
48,99,4,1,1998-03-02 15:18:00
49,178,332,0,1997-12-22 20:43:00
50,251,100,1,1998-01-31 18:38:00
51,81,432,0,1997-11-10 01:58:00
52,260,322,1,1998-03-23 02:08:00
53,25,181,1,1998-01-26 22:23:00
54,59,196,1,1998-02-23 03:38:00
55,72,679,0,1997-11-20 14:46:00
56,87,384,1,1997-11-18 18:18:00
57,290,143,1,1997-11-25 16:11:00
58,42,423,1,1997-03-12 00:08:00
59,292,515,1,1997-02-12 23:06:00
60,115,20,0,1997-03-12 17:43:00
61,20,288,0,1997-11-16 08:06:00
62,201,219,1,1998-06-01 18:51:00
63,13,526,0,1997-12-14 23:10:00
64,246,919,1,1998-01-16 03:22:00
65,138,26,1,1997-08-11 21:23:00
66,167,232,0,1998-04-16 14:52:00
67,60,427,1,1997-12-28 16:30:00
68,57,304,1,1998-01-01 23:49:00
69,223,274,1,1998-02-04 20:48:00
70,189,512,1,1998-04-22 20:41:00
71,243,15,0,1997-11-20 00:57:00
72,92,1049,0,1998-03-18 20:10:00
73,246,416,0,1998-01-16 03:57:00
74,194,165,1,1997-11-14 22:32:00
75,241,690,0,1998-12-02 02:11:00
76,178,248,1,1997-12-22 20:52:00
77,254,1444,0,1998-03-02 03:12:00
78,293,5,0,1998-03-03 06:29:00
79,127,229,1,1998-09-01 16:54:00
80,225,237,1,1997-11-14 20:34:00
81,299,229,0,1997-10-30 06:20:00
82,225,480,1,1997-11-14 20:52:00
83,276,54,0,1997-09-20 21:30:00
84,291,144,1,1997-09-21 09:44:00
85,222,366,1,1997-10-30 03:49:00
86,267,518,1,1997-08-11 06:49:00
87,42,403,0,1997-03-12 00:24:00
88,11,111,1,1998-06-04 23:04:00
89,95,625,1,1998-03-03 19:46:00
90,8,338,1,1997-12-11 19:11:00
91,162,25,1,1997-10-23 19:39:00
92,87,1016,1,1997-11-18 18:03:00
93,279,154,1,1997-09-26 17:51:00
94,145,275,0,1998-01-23 12:11:00
95,119,1153,1,1997-09-20 18:46:00
96,62,498,1,1997-12-11 22:30:00
97,62,382,0,1997-12-11 22:58:00
98,28,209,1,1997-12-12 21:13:00
99,135,23,1,1997-11-18 12:56:00
100,32,294,0,1998-02-01 02:57:00
101,90,382,1,1998-03-31 22:37:00
102,286,208,1,1997-10-22 14:52:00
103,293,685,0,1998-03-03 06:06:00
104,216,144,1,1997-11-22 21:37:00
105,166,328,1,1998-02-02 05:35:00
106,250,496,1,1997-10-29 02:01:00
107,271,132,1,1998-01-26 21:04:00
108,160,174,1,1997-10-14 20:26:00
109,265,118,1,1997-09-27 00:38:00
110,198,498,0,1998-07-01 21:11:00
111,42,96,1,1997-02-12 23:59:00
112,168,151,1,1998-08-01 19:34:00
113,110,307,1,1998-09-02 01:21:00
114,58,144,1,1998-09-01 00:15:00
115,90,648,1,1998-03-31 22:52:00
116,271,346,1,1998-01-26 19:53:00
117,62,21,0,1997-12-11 22:24:00
118,279,832,0,1997-06-12 02:37:00
119,237,514,1,1997-12-11 23:17:00
120,94,789,1,1998-04-04 20:14:00
121,128,485,0,1997-11-19 19:14:00
122,298,317,1,1998-07-01 14:20:00
123,44,195,1,1997-01-11 01:31:00
124,264,200,1,1998-01-30 01:05:00
125,194,385,0,1997-11-14 16:24:00
126,72,195,1,1997-11-20 14:55:00
127,222,750,1,1998-03-01 08:12:00
128,250,264,0,1997-10-29 01:39:00
129,41,265,0,1998-03-23 21:04:00
130,224,245,0,1998-02-21 17:30:00
131,82,135,0,1997-05-11 22:40:00
132,262,1147,1,1997-11-17 18:35:00
133,293,471,0,1998-03-03 06:01:00
134,216,658,0,1997-11-23 00:30:00
135,250,140,0,1997-10-29 02:27:00
136,59,23,1,1998-02-23 03:41:00
137,286,379,1,1997-10-22 15:22:00
138,244,815,1,1997-11-27 04:33:00
139,7,479,1,1998-03-31 13:46:00
140,174,368,0,1998-02-02 15:46:00
141,87,274,1,1997-11-18 18:12:00
142,194,1211,0,1997-11-14 23:49:00
143,82,1134,0,1998-01-13 18:00:00
144,13,836,0,1997-12-14 22:49:00
145,13,272,1,1998-11-01 17:06:00
146,244,756,0,1997-11-27 04:32:00
147,305,427,1,1998-01-02 08:51:00
148,95,787,0,1998-03-03 19:55:00
149,43,14,0,1998-04-01 23:15:00
150,299,955,1,1998-10-03 04:07:00
151,57,419,0,1998-01-01 23:47:00
152,84,405,0,1997-12-30 03:26:00
153,269,504,1,1998-01-04 16:58:00
154,299,111,0,1997-10-26 15:03:00
155,194,466,1,1997-11-14 16:44:00
156,160,135,1,1997-10-14 20:26:00
157,99,268,0,1998-01-24 21:44:00
158,10,486,1,1997-10-26 17:27:00
159,259,117,1,1997-09-20 03:09:00
160,85,427,0,1997-11-13 21:25:00
161,303,919,1,1997-11-14 00:28:00
162,213,273,1,1997-07-11 02:49:00
163,121,514,0,1998-03-31 23:45:00
164,90,98,1,1998-03-31 22:26:00
165,49,559,0,1998-02-21 13:23:00
166,42,794,0,1997-03-12 00:20:00
167,155,323,0,1997-12-11 21:47:00
168,68,117,1,1997-10-16 03:52:00
169,172,177,1,1997-09-29 12:59:00
170,19,4,1,1998-01-21 20:00:00
171,268,231,1,1997-01-10 22:15:00
172,5,2,0,1997-09-30 16:14:00
173,305,117,0,1998-01-02 09:07:00
174,44,294,1,1997-12-31 23:52:00
175,43,137,1,1997-04-10 14:34:00
176,279,1336,0,1997-09-26 18:25:00
177,80,466,1,1998-02-13 20:28:00
178,254,164,1,1998-03-02 02:26:00
179,298,281,0,1998-07-01 14:28:00
180,279,1240,0,1998-10-04 02:13:00
181,66,298,1,1997-12-31 20:48:00
182,18,443,0,1997-11-21 16:36:00
183,268,1035,0,1997-09-29 14:09:00
184,99,79,1,1998-01-24 22:15:00
185,13,98,1,1997-07-12 17:16:00
186,26,258,0,1998-03-31 12:39:00
187,7,455,1,1998-03-31 14:04:00
188,222,755,1,1997-10-30 03:51:00
189,200,673,1,1998-06-01 23:15:00
190,119,328,1,1997-10-15 13:58:00
191,213,172,1,1997-08-11 02:17:00
192,276,322,0,1997-09-20 20:13:00
193,94,1217,0,1998-04-04 20:51:00
194,130,379,1,1997-02-10 14:14:00
195,38,328,1,1998-04-13 00:51:00
196,160,719,0,1997-10-14 19:39:00
197,293,1267,0,1998-03-03 06:36:00
198,26,930,0,1998-03-31 23:13:00
199,130,216,1,1997-09-25 19:42:00
200,92,1079,0,1998-02-02 18:17:00
201,256,452,1,1997-12-15 05:49:00
202,1,61,1,1997-03-11 07:33:00
203,72,48,1,1997-11-20 14:38:00
204,56,755,0,1998-04-18 14:36:00
205,13,360,1,1997-12-14 23:08:00
206,15,405,0,1997-11-13 21:19:00
207,92,77,0,1997-09-30 21:23:00
208,207,476,0,1998-09-01 22:52:00
209,292,174,1,1997-02-12 23:31:00
210,232,483,1,1998-02-27 03:20:00
211,251,748,0,1998-01-31 18:42:00
212,224,26,0,1998-02-21 23:35:00
213,181,220,1,1997-08-11 04:13:00
214,259,255,1,1997-09-20 03:05:00
215,305,471,1,1998-01-02 09:00:00
216,52,280,0,1997-12-24 00:20:00
217,161,202,1,1998-03-29 11:26:00
218,148,408,1,1997-10-21 01:56:00
219,125,235,0,1998-04-17 18:42:00
220,97,228,1,1998-08-01 05:54:00
221,58,1098,1,1998-09-01 00:15:00
222,83,234,1,1998-02-16 21:45:00
223,90,347,1,1998-03-31 22:28:00
224,272,178,1,1997-11-13 21:05:00
225,194,181,0,1997-11-14 15:29:00
226,125,478,1,1997-11-13 20:57:00
227,110,688,0,1998-09-02 01:26:00
228,299,14,1,1997-10-26 14:56:00
229,151,10,1,1997-11-14 16:28:00
230,269,127,1,1998-01-04 15:56:00
231,6,14,1,1997-12-31 20:14:00
232,54,106,0,1997-01-12 00:58:00
233,303,69,1,1997-11-14 00:32:00
234,16,944,0,1997-10-24 21:05:00
235,301,790,1,1997-12-14 05:50:00
236,276,1091,0,1997-09-20 22:03:00
237,305,214,0,1998-01-02 08:51:00
238,194,1028,0,1997-11-14 20:59:00
239,91,323,0,1998-01-04 13:46:00
240,87,554,1,1997-11-18 17:59:00
241,294,109,1,1997-10-25 22:46:00
242,286,171,1,1997-10-22 14:49:00
243,200,318,1,1998-06-01 23:14:00
244,229,328,0,1998-03-04 19:35:00
245,178,568,1,1997-12-22 21:35:00
246,303,842,0,1997-11-14 05:20:00
247,62,65,1,1997-12-11 22:44:00
248,207,591,0,1997-05-10 02:30:00
249,92,172,1,1997-09-30 21:01:00
250,301,401,1,1997-12-14 05:40:00
251,36,339,1,1997-12-15 03:46:00
252,70,746,0,1998-07-01 05:17:00
253,63,242,0,1997-01-10 23:06:00
254,28,201,0,1997-12-12 21:21:00
255,279,68,1,1997-09-26 20:56:00
256,250,7,1,1997-10-29 01:48:00
257,14,98,0,1998-03-26 03:02:00
258,299,1018,0,1998-10-03 03:58:00
259,194,54,0,1997-11-14 16:44:00
260,303,815,0,1997-11-14 05:32:00
261,119,237,1,1997-09-20 17:03:00
262,295,218,1,1997-11-19 19:08:00
263,268,930,0,1997-01-10 21:55:00
264,268,2,0,1997-01-10 22:16:00
265,66,258,1,1997-12-31 20:44:00
266,233,202,1,1997-11-13 04:11:00
267,83,623,1,1997-11-23 18:09:00
268,214,334,0,1998-02-04 18:42:00
269,192,476,0,1997-06-12 00:30:00
270,100,344,1,1998-03-31 20:07:00
271,268,145,0,1997-01-10 22:21:00
272,301,56,1,1997-12-14 05:16:00
273,307,89,1,1997-11-11 21:29:00
274,234,141,0,1998-11-04 22:43:00
275,83,576,1,1997-11-23 18:12:00
276,181,264,0,1997-08-11 04:00:00
277,297,133,1,1997-09-26 02:14:00
278,38,153,1,1998-04-13 01:19:00
279,7,382,1,1998-03-31 13:48:00
280,264,813,1,1998-01-30 01:15:00
281,181,872,0,1997-08-11 04:03:00
282,201,146,0,1998-07-01 02:36:00
283,85,507,1,1997-11-13 21:23:00
284,269,367,0,1998-01-04 17:00:00
285,59,468,0,1998-02-23 03:50:00
286,286,143,1,1998-11-03 21:25:00
287,193,96,0,1998-05-03 19:01:00
288,113,595,1,1997-04-10 03:40:00
289,292,11,1,1997-02-12 23:08:00
290,130,1014,0,1997-07-10 18:58:00
291,275,98,1,1997-09-25 02:39:00
292,189,520,1,1998-04-22 17:16:00
293,219,82,0,1998-09-03 14:07:00
294,218,209,1,1997-10-22 02:49:00
295,123,427,0,1997-11-18 17:10:00
296,119,222,1,1997-09-20 17:08:00
297,158,177,1,1997-11-21 17:46:00
298,222,118,1,1997-10-22 23:43:00
299,302,322,0,1997-11-13 16:01:00
300,279,501,0,1997-09-26 21:20:00
301,301,79,1,1997-12-14 05:13:00
302,181,3,0,1997-08-11 04:30:00
303,201,695,0,1998-07-01 02:28:00
304,13,198,0,1997-07-12 17:19:00
305,1,189,0,1998-01-03 06:15:00
306,145,237,1,1997-09-26 10:42:00
307,23,385,1,1997-09-20 20:14:00
308,201,767,1,1998-06-01 19:21:00
309,296,705,1,1998-07-01 18:19:00
310,42,546,0,1997-02-12 23:36:00
311,33,872,0,1998-07-04 15:50:00
312,301,554,0,1997-12-14 05:53:00
313,16,64,1,1997-10-24 19:11:00
314,95,135,0,1997-10-11 21:32:00
315,154,357,1,1997-10-11 05:11:00
316,77,484,1,1998-01-13 23:22:00
317,296,508,1,1998-07-01 18:09:00
318,302,303,0,1997-11-13 15:59:00
319,244,673,0,1997-11-27 04:57:00
320,222,77,1,1997-10-30 03:53:00
321,13,215,1,1997-12-14 23:03:00
322,16,705,1,1997-10-24 19:52:00
323,270,452,1,1997-10-15 22:57:00
324,145,15,0,1997-09-26 10:44:00
325,187,64,1,1997-11-14 00:00:00
326,200,304,1,1997-05-10 08:54:00
327,170,749,1,1998-02-16 16:22:00
328,101,829,0,1997-10-18 00:55:00
329,184,218,0,1998-03-14 21:10:00
330,128,204,1,1997-11-19 19:24:00
331,181,1295,0,1997-08-11 04:03:00
332,184,153,0,1998-03-14 21:34:00
333,1,33,1,1997-03-11 07:38:00
334,1,160,1,1997-09-24 03:42:00
335,184,321,1,1998-03-14 20:22:00
336,54,595,0,1997-01-12 00:56:00
