,movieId,userId,rating,review_date,review_content
0,m/1016756-prisoner_of_zenda,A.H. Weiler,4,,
1,m/executive_suite,A.H. Weiler,4,,
2,m/gods_and_monsters,A.H. Weiler,4,,
3,m/grizzly_man,A.H. Weiler,4,,
4,m/true_grit_2010,A.H. Weiler,4,,
5,m/top_hat,A.H. Weiler,4,,
6,m/belle_de_jour,A.H. Weiler,4,,
7,m/key_largo,A.H. Weiler,4,,
8,m/midnight_cowboy,A.H. Weiler,4,,
9,m/rite_2011,A.H. Weiler,4,,
10,m/1001115-apartment,A.S. Hamrah,4,,
11,m/people_will_talk,A.S. Hamrah,4,,
12,m/pulp_fiction,A.S. Hamrah,4,,
13,m/moonrise,A.S. Hamrah,4,,
14,m/phoenix_2015,A.S. Hamrah,4,,
15,m/witness_for_the_prosecution,A.S. Hamrah,4,,
16,m/1019544-spartacus,A.S. Hamrah,4,,
17,m/letter_to_three_wives,A.S. Hamrah,4,,
18,m/producers_the_movie_musical,A.S. Hamrah,4,,
19,m/10006057-moonlight,A.S. Hamrah,4,,
20,m/servant,A.S. Hamrah,4,,
21,m/young_frankenstein,A.S. Hamrah,4,,
22,m/the_long_good_friday,A.S. Hamrah,4,,
23,m/birdman_2014,A.S. Hamrah,4,,
24,m/finding_nemo,A.S. Hamrah,4,,
25,m/the_lord_of_the_rings_the_two_towers,A.S. Hamrah,4,,
26,m/in_the_family_2011,AJ Caulfield,4,,
27,m/10006057-moonlight,AJ Caulfield,4,,
28,m/monsters_inc,AJ Caulfield,4,,
29,m/mary_poppins,AJ Caulfield,4,,
30,m/the_waiting_room_2012,AJ Caulfield,4,,
31,m/1014372-mummy,AJ Caulfield,4,,
32,m/kubo_and_the_two_strings_2016,AJ Caulfield,4,,
33,m/fast_cheap_and_out_of_control,AJ Caulfield,4,,
34,m/1068779-dead_man_walking,AJ Caulfield,4,,
35,m/phoenix_1998,AJ Caulfield,4,,
36,m/ex_machina,AJ Caulfield,4,,
37,m/experiment_in_terror,AJ Caulfield,4,,
38,m/glengarry_glen_ross,AJ Caulfield,4,,
39,m/hombre,AJ Caulfield,4,,
40,m/nightcrawler,AJ Caulfield,4,,
41,m/all_the_presidents_men,AJ Caulfield,4,,
42,m/spanish_lake,AJ Caulfield,4,,
43,m/1000643-all_quiet_on_the_western_front,AP Kryza,4,,
44,m/the_pawnbroker,Aaron Aradillas,4,,
45,m/mean_streets,Aaron Aradillas,4,,
46,m/rite_2011,Aaron Aradillas,4,,
47,m/quiet_man,Aaron Aradillas,4,,
